Field,Type,Null,Key,Default,Extra
RecID,varchar(12),NO,PRI,,
IDCuentaContable,varchar(12),YES,MUL,,
Descripcion,varchar(255),YES,,,
TipoSaldo,tinyint(1) unsigned,YES,,,
IDCotizacionMoneda,varchar(12),YES,MUL,,
Nromoneda,tinyint(1) unsigned,YES,,,
Importe1,double,YES,,,
Importe2,double,YES,,,
Importe3,double,YES,,,
Importe4,double,YES,,,
Importe5,double,YES,,,
Importe6,double,YES,,,
IDAsiento,varchar(12),YES,MUL,,
IDTipo,varchar(12),YES,MUL,,
Tipo,tinyint(1) unsigned,YES,,,
IDMovimiento,varchar(12),YES,MUL,,
