Mes,Numero,Concepto,TipoSaldo,Cant_Asientos,Total
b'2024-01',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,11,14508493.0
b'2024-01',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,2,21672473.0
b'2024-01',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,10,14271897.59
b'2024-01',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,2,21449160.59
b'2024-02',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,5,13906520.0
b'2024-02',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,1,19175708.0
b'2024-02',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,15,26347009.0
b'2024-02',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,2,25027721.0
b'2024-03',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,14,24293721.0
b'2024-03',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,1,18314723.0
b'2024-03',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,8,24160148.0
b'2024-03',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,2,24172458.3
b'2024-04',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,9,28933576.0
b'2024-04',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,1,37217876.0
b'2024-04',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,9,25572649.0
b'2024-04',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,2,34138172.76
b'2024-05',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,12,57860700.0
b'2024-05',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,2,9093611.0
b'2024-05',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,10,39894306.0
b'2024-06',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,10,35720513.0
b'2024-06',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,7,37282197.0
b'2024-07',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,6,29944434.0
b'2024-07',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,7,27193635.0
b'2024-08',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,6,29978101.0
b'2024-08',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,8,28685740.0
b'2024-09',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,7,34504632.0
b'2024-09',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,1,12557952.0
b'2024-09',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,12,32386556.0
b'2024-09',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,1,11013021.0
b'2024-10',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,8,31228297.0
b'2024-10',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,6,184875107.0
b'2024-10',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,10,31140012.0
b'2024-10',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,6,183650004.68
b'2024-11',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,11,53808875.0
b'2024-11',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,1,100000.0
b'2024-11',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,10,33568370.0
b'2024-11',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,2,3234870.0
b'2024-12',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,10,50520166.0
b'2024-12',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,1,3662205.0
b'2024-12',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,9,46825075.0
b'2025-01',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,9,31488591.0
b'2025-01',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,1,142003.0
b'2025-01',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,11,40494758.0
b'2025-02',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,5,35993674.0
b'2025-02',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,7,57057887.0
b'2025-03',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,10,55845379.5
b'2025-03',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,4,148264394.0
b'2025-03',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,16,46590498.0
b'2025-03',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,4,124492012.12
b'2025-04',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,8,33044773.0
b'2025-04',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,8,44808404.0
b'2025-05',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,7,72592487.0
b'2025-05',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,1,31192828.0
b'2025-05',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,11,90818823.0
b'2025-05',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,1,39302758.0
b'2025-06',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,9,63921479.0
b'2025-06',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,4,147132378.5
b'2025-06',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,9,57481996.0
b'2025-06',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,4,199393860.8
b'2025-07',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,1,75057813.9
b'2025-07',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,2,187916768.0
b'2025-07',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,2,106055851.0
b'2025-08',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,13,100544219.1
b'2025-08',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,18,99045736.0
b'2025-08',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,1,4075571.0
b'2025-09',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,5,40387251.0
b'2025-09',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,1,51356744.0
b'2025-09',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,12,46351788.0
b'2025-09',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,1,46663062.0
b'2025-10',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,3,43182519.0
b'2025-10',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,4,45246818.0
b'2025-11',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,7,47893013.0
b'2025-11',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,8,48595356.0
b'2025-12',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,5,79758474.68
b'2025-12',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,1,100000.0
b'2025-12',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,15,102824966.52
b'2025-12',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,3,20936703.0
b'2026-01',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,7,58340455.44
b'2026-01',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,4,199566763.0
b'2026-01',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,12,67696771.86
b'2026-01',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,4,215021983.58
b'2026-02',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,3,46863174.0
b'2026-02',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,9,60800596.0
b'2026-03',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,6,68416561.0
b'2026-03',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,1,19681797.0
b'2026-03',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,12,65138724.0
b'2026-04',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,5,62311923.0
b'2026-04',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,10,62396206.0
b'2026-05',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,6,114849848.32
b'2026-05',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,2,72157056.0
b'2026-05',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,11,136201258.48
b'2026-05',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,2,73621255.0
b'2026-06',21301001,SUELDOS Y JORNALES A PAGAR BS AS,0,5,100380784.0
b'2026-06',21301001,SUELDOS Y JORNALES A PAGAR BS AS,1,1,26142695.0
b'2026-06',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,0,11,90120356.5
b'2026-06',21301002,SUELDOS Y JORNALES A PAGAR PATOGENICOS,1,1,2605358.0
